data,time,CPU (Tctl/Tdie) [°C],Core Clocks (avg) [MHz],CPU Package Power [W],GPU Hot Spot Temperature [°C],GPU Temperature [°C],GPU Shader Clock [MHz],GPU Fan [RPM],scenario,source_file,label
9.7.2026,34:57.6,96.1,4924.5,115.217,52.0,44.0,2747.0,609.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,34:59.6,96.0,4991.0,115.807,52.0,44.0,2748.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,35:01.6,95.8,4991.0,114.435,52.0,44.0,2748.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,35:03.6,96.1,4957.7,117.143,52.0,44.0,2748.0,607.0,CPU Heavy,CPU Multicore_04,bad
9.7.2026,07:28.5,60.4,4824.6,62.154,51.0,43.0,109.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,07:30.5,61.5,5440.2,60.913,52.0,43.0,123.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,07:32.5,65.4,4560.9,65.645,52.0,43.0,1551.0,0.0,light_use,Youtube_02.CSV,warning
9.7.2026,07:34.5,65.6,5440.2,65.326,52.0,43.0,118.0,0.0,light_use,Youtube_02.CSV,warning
9.7.2026,07:36.5,62.6,3885.8,57.128,52.0,43.0,118.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,07:38.5,62.8,5440.2,60.182,52.0,43.0,243.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,07:40.5,60.2,4739.8,57.715,51.0,43.0,152.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,07:42.5,60.2,5440.2,61.463,52.0,43.0,262.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,07:44.5,60.4,5051.6,62.004,51.0,43.0,121.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,07:46.5,58.6,4758.1,57.458,52.0,43.0,148.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,07:48.5,58.9,5265.5,59.001,52.0,44.0,155.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,07:50.5,58.6,5427.7,59.898,52.0,44.0,1532.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,07:52.5,61.2,5028.4,58.301,52.0,44.0,304.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,07:54.5,60.0,5051.6,59.637,52.0,44.0,297.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,07:56.5,58.9,4650.5,57.038,52.0,44.0,210.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,07:58.5,59.1,5411.1,57.724,52.0,44.0,160.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:00.5,57.9,3820.5,57.713,52.0,44.0,165.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:02.5,57.1,3901.3,57.534,52.0,43.0,135.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:04.5,57.0,5298.8,56.858,52.0,44.0,131.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:06.5,56.8,5440.2,57.624,52.0,44.0,139.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:08.5,57.6,4274.4,58.301,52.0,44.0,144.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:10.5,57.0,5040.9,57.913,52.0,44.0,309.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:12.5,57.2,4095.6,58.32,52.0,44.0,149.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:14.5,57.1,5090.8,58.039,52.0,44.0,152.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:16.5,57.0,4209.1,57.177,52.0,44.0,167.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:18.5,57.6,5132.4,58.208,52.0,44.0,153.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:20.5,56.9,5132.4,57.346,52.0,44.0,138.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:22.5,63.8,4876.9,61.817,52.0,44.0,253.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:24.5,61.2,5440.2,57.656,52.0,44.0,203.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:26.5,59.9,5440.2,57.836,52.0,44.0,148.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:28.5,58.9,5132.4,57.464,52.0,44.0,149.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:30.5,58.4,5419.4,58.502,52.0,44.0,175.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:32.5,58.5,3593.5,59.561,52.0,44.0,135.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:34.5,57.6,4749.8,57.482,52.0,44.0,151.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:36.5,57.5,5440.2,58.247,52.0,44.0,152.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:38.5,59.1,5440.2,59.37,52.0,44.0,140.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:40.5,58.2,5132.4,58.292,52.0,44.0,254.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:42.5,58.0,4355.2,59.668,52.0,44.0,152.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:44.5,58.4,4928.6,58.815,52.0,44.0,151.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:46.5,57.8,5047.4,58.272,52.0,44.0,132.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:48.5,58.4,5423.6,58.181,52.0,44.0,158.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:50.5,58.0,5262.2,58.921,52.0,44.0,279.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:52.5,61.0,4924.5,58.657,53.0,44.0,291.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:54.5,59.2,5051.6,57.775,53.0,44.0,136.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:56.5,57.8,5440.2,56.803,52.0,44.0,133.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,08:58.5,58.1,5411.1,58.109,52.0,44.0,145.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:00.5,57.4,5440.2,57.676,52.0,44.0,158.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:02.5,58.6,3966.7,58.124,52.0,44.0,149.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:04.5,57.5,5440.2,56.769,52.0,44.0,161.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:06.5,57.6,4527.6,58.489,53.0,44.0,268.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:08.5,57.5,5051.6,57.575,53.0,44.0,228.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:10.5,57.4,3885.8,57.424,52.0,44.0,1524.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:12.5,57.2,4274.4,57.368,53.0,44.0,197.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:14.5,56.9,4209.1,56.879,53.0,44.0,266.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:16.5,56.2,5440.2,56.834,52.0,44.0,138.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:18.5,57.2,5440.2,57.843,52.0,44.0,158.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:20.5,57.2,4876.9,57.521,52.0,44.0,150.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:22.5,60.6,4702.1,59.914,53.0,44.0,134.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:24.6,59.5,4471.1,59.298,53.0,44.0,150.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:26.5,58.0,5132.4,57.55,53.0,44.0,165.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:28.5,58.5,4749.8,58.278,53.0,44.0,257.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:30.5,58.0,5132.4,57.88,53.0,45.0,239.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:32.5,57.0,5440.2,56.705,53.0,44.0,141.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:34.5,56.4,4279.2,56.551,53.0,45.0,133.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:36.5,55.9,5431.9,56.042,53.0,44.0,131.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:38.6,57.0,3901.3,56.84,53.0,44.0,143.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:40.5,57.2,3885.8,57.414,52.0,44.0,154.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:42.6,56.9,5440.2,58.546,53.0,45.0,157.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:44.5,62.0,5265.5,60.144,53.0,44.0,215.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:46.5,60.2,5419.4,58.916,53.0,45.0,140.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:48.5,59.5,5132.4,57.795,53.0,45.0,138.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:50.5,58.0,5440.2,56.632,53.0,45.0,131.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:52.5,61.2,5436.0,57.989,53.0,45.0,133.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:54.5,59.1,5440.2,55.915,53.0,45.0,138.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:56.5,57.8,4274.4,56.052,53.0,45.0,144.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,09:58.5,58.1,3885.8,56.823,53.0,45.0,144.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,10:00.5,57.0,5018.3,55.924,53.0,45.0,130.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,10:02.5,56.4,5020.1,55.946,53.0,45.0,135.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,10:04.6,56.5,5440.2,57.032,53.0,45.0,133.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,10:06.6,57.2,3885.8,56.897,53.0,45.0,129.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,10:08.6,57.1,5132.4,56.672,53.0,45.0,131.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,10:10.6,56.4,4749.8,56.661,53.0,45.0,130.0,0.0,light_use,Youtube_02.CSV,good
9.7.2026,10:12.6,56.0,5440.2,56.277,53.0,45.0,156.0,0.0,light_use,Youtube_02.CSV,good
